,6reviewer_country,8country,9country_mod
1310,No Value,No Value,No Value
1311,"Hong Kong, China", China,China
1312,England,England,United Kingdom
1313,"Bangkok, Thailand", Thailand,Thailand
1314,"Brisbane, Australia", Australia,Australia
1315,"Milton Keynes, United Kingdom", United Kingdom,United Kingdom
1316,No Value,No Value,No Value
1317,No Value,No Value,No Value
1318,"Perth, Australia", Australia,Australia
1319,No Value,No Value,No Value
1320,"Singapore, Singapore", Singapore,Singapore
1321,Qatar,Qatar,Qatar
1322,"Kochi (Cochin), India", India,India
1323,No Value,No Value,No Value
1324,"Bangkok, Thailand", Thailand,Thailand
1325,"Jakarta, Indonesia", Indonesia,Indonesia
1326,No Value,No Value,No Value
1327,No Value,No Value,No Value
1328,Dubai,Dubai,United Arab Emirates
1329,"New Delhi, India", India,India
1330,Aberdeen,Aberdeen,United Kingdom
1331,"Perth, Australia", Australia,Australia
1332,No Value,No Value,No Value
1333,No Value,No Value,No Value
1334,"Rawalpindi, Punjab, Pakistan", Pakistan,Pakistan
1335,"Lucknow, India", India,India
1336,No Value,No Value,No Value
1337,No Value,No Value,No Value
1338,"Kanpur, India", India,India
1339,Singapore,Singapore,Singapore
1340,"Zurich, Switzerland", Switzerland,Switzerland
1341,"Metro Manila, Philippines", Philippines,Philippines
1342,"Gurugram (Gurgaon), India", India,India
1343,No Value,No Value,No Value
1344,No Value,No Value,No Value
1345,"Hong Kong, China", China,China
1346,No Value,No Value,No Value
1347,"Melbourne, Australia", Australia,Australia
1348,"Darwin, Australia", Australia,Australia
1349,"Deesa, India", India,India
1350,NSW,NSW,Australia
1351,Philippines,Philippines,Philippines
1352,"Adelaide, Australia", Australia,Australia
1353,Muscat,Muscat,Oman
1354,"Bristol, United Kingdom", United Kingdom,United Kingdom
1355,"Kew East, Australia", Australia,Australia
1356,No Value,No Value,No Value
1357,India,India,India
1358,"Melbourne, Australia", Australia,Australia
1359,"Auckland, New Zealand", New Zealand,New Zealand
1360,"Sunshine Coast, Australia", Australia,Australia
1361,"London, United Kingdom", United Kingdom,United Kingdom
1362,Australia,Australia,Australia
1363,No Value,No Value,No Value
1364,"Bengaluru, India", India,India
1365,"Mumbai (Bombay), India", India,India
1366,"Bangkok, Thailand", Thailand,Thailand
1367,No Value,No Value,No Value
1368,"Melbourne, Australia", Australia,Australia
1369,"Culburra Beach, Australia", Australia,Australia
1370,"Jodhpur, India", India,India
1371,No Value,No Value,No Value
1372,"Brighton, United Kingdom", United Kingdom,United Kingdom
1373,No Value,No Value,No Value
1374,No Value,No Value,No Value
1375,"Singapore, Singapore", Singapore,Singapore
1376,"Ningbo, China", China,China
1377,"Western Australia, Australia", Australia,Australia
1378,Singapore,Singapore,Singapore
1379,Perth,Perth,Australia
1380,Calgary,Calgary,Canada
1381,No Value,No Value,No Value
1382,Japan,Japan,Japan
1383,"Singapore, Singapore", Singapore,Singapore
1384,houston,houston,United States
1385,"Wellington, United Kingdom", United Kingdom,United Kingdom
1386,Nottingham,Nottingham,United Kingdom
1387,"Belfast, United Kingdom", United Kingdom,United Kingdom
1388,"Shanghai, China", China,China
1389,"Pontianak, Indonesia", Indonesia,Indonesia
1390,No Value,No Value,No Value
1391,"Amritsar, India", India,India
1392,"Colombo, Sri Lanka", Sri Lanka,Sri Lanka
1393,"Luton, United Kingdom", United Kingdom,United Kingdom
1394,No Value,No Value,No Value
1395,Bangalore,Bangalore,India
1396,No Value,No Value,No Value
1397,London,London,United Kingdom
1398,Singapore,Singapore,Singapore
1399,No Value,No Value,No Value
1400,No Value,No Value,No Value
1401,No Value,No Value,No Value
1402,No Value,No Value,No Value
1403,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
1404,"New Delhi, India", India,India
1405,"Brisbane, Australia", Australia,Australia
1406,"Brisbane, Australia", Australia,Australia
1407,"Mellor, United Kingdom", United Kingdom,United Kingdom
1408,Gold Coast,Gold Coast,Australia
1409,No Value,No Value,No Value
1410,Petakh Tikva,Petakh Tikva,Israel
1411,"Twickenham, United Kingdom", United Kingdom,United Kingdom
1412,Calicut,Calicut,India
1413,"Manila, Philippines", Philippines,Philippines
1414,"Lagos, Nigeria", Nigeria,Nigeria
1415,No Value,No Value,No Value
1416,"Faversham, United Kingdom", United Kingdom,United Kingdom
1417,No Value,No Value,No Value
1418,No Value,No Value,No Value
1419,No Value,No Value,No Value
1420,"Chennai, Tamil Nadu, India", India,India
1421,No Value,No Value,No Value
1422,Brisbane,Brisbane,Australia
1423,"Jeddah, Saudi Arabia", Saudi Arabia,Saudi Arabia
1424,"Mumbai, Maharashtra, India", India,India
1425,No Value,No Value,No Value
1426,kuwait city,kuwait city,Kuwait
1427,"Wellington, New Zealand", New Zealand,New Zealand
1428,"Melbourne, Australia", Australia,Australia
1429,"Greater London, United Kingdom", United Kingdom,United Kingdom
1430,"Sydney, Australia", Australia,Australia
1431,"Albrighton, United Kingdom", United Kingdom,United Kingdom
1432,"Edmonton, Canada", Canada,Canada
1433,"Luanda, Angola", Angola,Angola
1434,"Singapore, Singapore", Singapore,Singapore
1435,No Value,No Value,No Value
1436,No Value,No Value,No Value
1437,"Mountain View, California", California,United States
1438,"Reading, United Kingdom", United Kingdom,United Kingdom
1439,No Value,No Value,No Value
1440,"Denpasar, Indonesia", Indonesia,Indonesia
1441,No Value,No Value,No Value
1442,"New Delhi, India", India,India
1443,Seoul,Seoul,South Korea
1444,"Fukuoka, Japan", Japan,Japan
1445,"New Delhi, India", India,India
1446,"Perth, Australia", Australia,Australia
1447,"Perth, Australia", Australia,Australia
1448,"Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
1449,"Bangkok, Thailand", Thailand,Thailand
1450,No Value,No Value,No Value
1451,"Pune, India", India,India
1452,"Norwich, United Kingdom", United Kingdom,United Kingdom
1453,No Value,No Value,No Value
1454,"Thiruvananthapuram (Trivandrum), India", India,India
1455,No Value,No Value,No Value
1456,"Norfolk, United Kingdom", United Kingdom,United Kingdom
1457,No Value,No Value,No Value
1458,No Value,No Value,No Value
1459,"Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
1460,"Singapore, Singapore", Singapore,Singapore
1461,"Singapore, Singapore", Singapore,Singapore
1462,"Ukiah, California", California,United States
1463,No Value,No Value,No Value
1464,"Chennai (Madras), India", India,India
1465,No Value,No Value,No Value
1466,"Limassol, Cyprus", Cyprus,Cyprus
1467,"Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
1468,"Thiruvananthapuram (Trivandrum), India", India,India
1469,"Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
1470,"Burketown, Australia", Australia,Australia
1471,"Adelaide, Australia", Australia,Australia
1472,No Value,No Value,No Value
1473,No Value,No Value,No Value
1474,"Tangerang, Indonesia", Indonesia,Indonesia
1475,No Value,No Value,No Value
1476,"Hiroshima-shi, Hiroshima, Japan", Japan,Japan
1477,No Value,No Value,No Value
1478,"Melbourne, Australia", Australia,Australia
1479,"Jakarta, Indonesia", Indonesia,Indonesia
1480,"Dhaka City, Bangladesh", Bangladesh,Bangladesh
1481,No Value,No Value,No Value
1482,No Value,No Value,No Value
1483,No Value,No Value,No Value
1484,"Sydney, Australia", Australia,Australia
1485,No Value,No Value,No Value
1486,"Singapore, Singapore", Singapore,Singapore
1487,"Antipolo City, Philippines", Philippines,Philippines
1488,"Faridabad, India", India,India
1489,"Samedan, Switzerland", Switzerland,Switzerland
1490,"Manchester, United Kingdom", United Kingdom,United Kingdom
1491,No Value,No Value,No Value
1492,"Singapore, null, Singapore", Singapore,Singapore
1493,"Yarm, United Kingdom", United Kingdom,United Kingdom
1494,No Value,No Value,No Value
1495,No Value,No Value,No Value
1496,No Value,No Value,No Value
1497,No Value,No Value,No Value
1498,Singapore,Singapore,Singapore
1499,"Kent, United Kingdom", United Kingdom,United Kingdom
1500,"Port Hedland, Australia", Australia,Australia
1501,"NoCity, NoCountry", NoCountry,Norway
1502,"London, United Kingdom", United Kingdom,United Kingdom
1503,"Sydney, Australia", Australia,Australia
1504,"Beijing, China", China,China
1505,"Bali, Indonesia", Indonesia,Indonesia
1506,"Jakarta, Indonesia", Indonesia,Indonesia
1507,"Bangkok, Thailand", Thailand,Thailand
1508,United States,United States,United States
1509,"New Delhi, India", India,India
1510,"Kuching, Malaysia", Malaysia,Malaysia
1511,"Colombo, Sri Lanka", Sri Lanka,Sri Lanka
1512,"Greater Perth, Australia", Australia,Australia
1513,"Singapore, Singapore", Singapore,Singapore
1514,"Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
1515,"Houston, Texas", Texas,United States
1516,"New Delhi, India", India,India
1517,No Value,No Value,No Value
1518,"Shanghai, China", China,China
1519,No Value,No Value,No Value
1520,"Vasai, India", India,India
1521,"Calgary, Canada", Canada,Canada
1522,No Value,No Value,No Value
1523,"Perth, Western Australia, Australia", Australia,Australia
1524,"Bandar Seri Begawan, Brunei Darussalam", Brunei Darussalam,Brunei
1525,"Sydney, Australia", Australia,Australia
1526,"Pune, India", India,India
1527,"Suwon, South Korea", South Korea,South Korea
1528,"Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
1529,"Blackburn, United Kingdom", United Kingdom,United Kingdom
1530,"Paris, France", France,France
1531,"Muscat, Oman", Oman,Oman
1532,"Melbourne, Australia", Australia,Australia
1533,"New Delhi, India", India,India
1534,"Poulton Le Fylde, United Kingdom", United Kingdom,United Kingdom
1535,No Value,No Value,No Value
1536,"Sao Paulo, SP", SP,Brazil
1537,"Greater Perth, Australia", Australia,Australia
1538,"Braintree, United Kingdom", United Kingdom,United Kingdom
1539,India,India,India
1540,"Boston, Massachusetts", Massachusetts,United States
1541,"Mornington, Australia", Australia,Australia
1542,No Value,No Value,No Value
1543,"Kerala, India", India,India
1544,No Value,No Value,No Value
1545,"Singapore, Singapore", Singapore,Singapore
1546,"Metro Manila, Philippines", Philippines,Philippines
1547,"New Delhi, India", India,India
1548,No Value,No Value,No Value
1549,"Mumbai (Bombay), India", India,India
1550,"Kannur, India", India,India
1551,"Singapore, Singapore", Singapore,Singapore
1552,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
1553,"Singapore, Singapore", Singapore,Singapore
1554,"Melbourne, Australia", Australia,Australia
1555,No Value,No Value,No Value
1556,"Perth, Australia", Australia,Australia
1557,"Manila, Philippines", Philippines,Philippines
1558,London,London,United Kingdom
1559,"Mumbai (Bombay), India", India,India
1560,"Angeles City, Philippines", Philippines,Philippines
1561,"Perth, Australia", Australia,Australia
1562,"Singapore, Singapore", Singapore,Singapore
1563,No Value,No Value,No Value
1564,No Value,No Value,No Value
1565,"Emirate of Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
1566,"London, United Kingdom", United Kingdom,United Kingdom
1567,No Value,No Value,No Value
1568,No Value,No Value,No Value
1569,No Value,No Value,No Value
1570,"Adelaide, Australia", Australia,Australia
1571,"Bangkok, Thailand", Thailand,Thailand
1572,"Perth, Australia", Australia,Australia
1573,"Manama, Bahrain", Bahrain,Bahrain
1574,"Kepong, Kuala Lumpur, Malaysia", Malaysia,Malaysia
1575,"Nuremberg, Germany", Germany,Germany
1576,Fallbrook,Fallbrook,United States
1577,"Thornton Cleveleys, United Kingdom", United Kingdom,United Kingdom
1578,"Ludhiana, India", India,India
1579,"Singapore, Singapore", Singapore,Singapore
1580,No Value,No Value,No Value
1581,"Brisbane, Australia", Australia,Australia
1582,No Value,No Value,No Value
1583,"Beijing, China", China,China
1584,"Mumbai (Bombay), India", India,India
1585,No Value,No Value,No Value
1586,"Jakarta, Indonesia", Indonesia,Indonesia
1587,Auckland,Auckland,New Zealand
1588,"Karawang, Indonesia", Indonesia,Indonesia
1589,No Value,No Value,No Value
1590,"Dammam, Saudi Arabia", Saudi Arabia,Saudi Arabia
1591,No Value,No Value,No Value
1592,"Seoul, Seoul, South Korea", South Korea,South Korea
1593,"Perth, Australia", Australia,Australia
1594,"NoCity, NoCountry", NoCountry,Norway
1595,Hong Kong,Hong Kong,Hong Kong
1596,No Value,No Value,No Value
1597,"Perth, Australia", Australia,Australia
1598,KUWAIT,KUWAIT,Kuwait
1599,No Value,No Value,No Value
1600,No Value,No Value,No Value
1601,"Mumbai (Bombay), India", India,India
1602,"Hanoi, Vietnam", Vietnam,Vietnam
1603,No Value,No Value,No Value
1604,"Mumbai (Bombay), India", India,India
1605,No Value,No Value,No Value
1606,"Brisbane, Australia", Australia,Australia
1607,"Bangkok, Thailand", Thailand,Thailand
1608,"Singapore, Singapore", Singapore,Singapore
1609,"Durban, South Africa", South Africa,South Africa
1610,"Helsingborg, Sweden", Sweden,Sweden
1611,No Value,No Value,No Value
1612,Baguio,Baguio,Philippines
1613,No Value,No Value,No Value
1614,No Value,No Value,No Value
1615,No Value,No Value,No Value
1616,"Bogor, Jawa Barat, Indonesia", Indonesia,Indonesia
1617,No Value,No Value,No Value
1618,"Brisbane, Australia", Australia,Australia
1619,No Value,No Value,No Value
1620,Philippines,Philippines,Philippines
1621,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
1622,Singapore,Singapore,Singapore
1623,"Santa Monica, California", California,United States
1624,"Edinburgh, United Kingdom", United Kingdom,United Kingdom
1625,"Liverpool, United Kingdom", United Kingdom,United Kingdom
1626,"Bengaluru, India", India,India
1627,"Surabaya, Indonesia", Indonesia,Indonesia
1628,"Bengaluru, India", India,India
1629,"New Delhi, India", India,India
1630,No Value,No Value,No Value
1631,"Pune, India", India,India
1632,No Value,No Value,No Value
1633,No Value,No Value,No Value
1634,"Bengaluru, India", India,India
1635,No Value,No Value,No Value
1636,"Bengaluru, India", India,India
1637,"Colombo, Sri Lanka", Sri Lanka,Sri Lanka
1638,"Hong Kong, China", China,China
1639,"Cabanatuan City, Philippines", Philippines,Philippines
1640,No Value,No Value,No Value
1641,"Jammu City, India", India,India
1642,No Value,No Value,No Value
1643,"Abu Dhabi, United Arab Emirates", United Arab Emirates,United Arab Emirates
1644,"Sydney, Australia", Australia,Australia
1645,"Singapore, Singapore", Singapore,Singapore
1646,"Hong Kong, China", China,China
1647,"Melbourne, Australia", Australia,Australia
1648,No Value,No Value,No Value
1649,"Yangon (Rangoon), Myanmar", Myanmar,Myanmar (Burma)
1650,No Value,No Value,No Value
1651,Malaysia,Malaysia,Malaysia
1652,"Auckland, New Zealand", New Zealand,New Zealand
1653,No Value,No Value,No Value
1654,No Value,No Value,No Value
1655,"Lahore, Pakistan", Pakistan,Pakistan
1656,"Muntinlupa, Philippines", Philippines,Philippines
1657,"Perth, Australia", Australia,Australia
1658,The Netherlands,The Netherlands,Netherlands
1659,"Angers, France", France,France
1660,"Kolkata (Calcutta), India", India,India
1661,"New Delhi, India", India,India
1662,No Value,No Value,No Value
1663,No Value,No Value,No Value
1664,"Clare, Australia", Australia,Australia
1665,No Value,No Value,No Value
1666,No Value,No Value,No Value
1667,"Perth, Australia", Australia,Australia
1668,"Hyderabad, India", India,India
1669,Malaysia,Malaysia,Malaysia
1670,"Singapore, Singapore", Singapore,Singapore
1671,"Ghaziabad, Uttar Pradesh, India", India,India
1672,"Singapore, Singapore", Singapore,Singapore
1673,"Dhaka City, Bangladesh", Bangladesh,Bangladesh
1674,"George Town, Malaysia", Malaysia,Malaysia
1675,"Long Island, New York", New York,United States
1676,No Value,No Value,No Value
1677,"Singapore, Singapore", Singapore,Singapore
1678,"Haifa District, Israel", Israel,Israel
1679,No Value,No Value,No Value
1680,No Value,No Value,No Value
1681,"Pasig, Philippines", Philippines,Philippines
1682,"Bangkok, Thailand", Thailand,Thailand
1683,"Hyderabad, India", India,India
1684,"Greater Adelaide, Australia", Australia,Australia
1685,"Lucknow, India", India,India
1686,Canberra,Canberra,Australia
1687,"Sydney, Australia", Australia,Australia
1688,No Value,No Value,No Value
1689,"Singapore, Singapore", Singapore,Singapore
1690,No Value,No Value,No Value
1691,"Perth, Australia", Australia,Australia
1692,Mumbai,Mumbai,India
1693,"Wollongong, Australia", Australia,Australia
1694,"Singapore, Singapore", Singapore,Singapore
1695,"Bangkok, Thailand", Thailand,Thailand
1696,No Value,No Value,No Value
1697,No Value,No Value,No Value
1698,No Value,No Value,No Value
1699,"Boston, Massachusetts", Massachusetts,United States
1700,No Value,No Value,No Value
1701,India,India,India
1702,"Chennai (Madras), India", India,India
1703,"Makati, Philippines", Philippines,Philippines
1704,"Brisbane, Australia", Australia,Australia
1705,No Value,No Value,No Value
1706,"Western Australia, Australia", Australia,Australia
1707,"Munich, Germany", Germany,Germany
1708,"Perth, Australia", Australia,Australia
1709,"Semarang, Indonesia", Indonesia,Indonesia
1710,"Larnaka City, Cyprus", Cyprus,Cyprus
1711,No Value,No Value,No Value
1712,Melbourne,Melbourne,Australia
1713,Australia,Australia,Australia
1714,"Mumbai (Bombay), India", India,India
1715,No Value,No Value,No Value
1716,No Value,No Value,No Value
1717,"Hobart, Australia", Australia,Australia
1718,"Adelaide River, Australia", Australia,Australia
1719,"Brisbane, Australia", Australia,Australia
1720,"Marikina, Philippines", Philippines,Philippines
1721,No Value,No Value,No Value
1722,"Perth, Australia", Australia,Australia
1723,No Value,No Value,No Value
1724,"Yangon (Rangoon), Myanmar", Myanmar,Myanmar (Burma)
1725,"New Delhi, India", India,India
1726,"Perth, Australia", Australia,Australia
1727,"Mumbai (Bombay), India", India,India
1728,Gurgaon,Gurgaon,India
1729,"Singapore, Singapore", Singapore,Singapore
1730,No Value,No Value,No Value
1731,No Value,No Value,No Value
1732,"Melbourne, Australia", Australia,Australia
1733,Ireland,Ireland,
1734,No Value,No Value,No Value
1735,No Value,No Value,No Value
1736,"Mumbai (Bombay), India", India,India
1737,"Perth, Australia", Australia,Australia
1738,"New Delhi, India", India,India
1739,"Mumbai (Bombay), India", India,India
1740,perth,perth,Australia
1741,"Mangalore, Karnataka, India", India,India
1742,Singapore,Singapore,Singapore
1743,No Value,No Value,No Value
1744,"Sunshine Coast, Australia", Australia,Australia
1745,"Bengaluru, India", India,India
1746,"Singapore, Singapore", Singapore,Singapore
1747,"Sydney, Australia", Australia,Australia
1748,"Jaipur, India", India,India
1749,"Canberra, Australia", Australia,Australia
1750,"Rawang, Malaysia", Malaysia,Malaysia
1751,kuala lumpur,kuala lumpur,Malaysia
1752,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
1753,"Bunbury, Australia", Australia,Australia
1754,"Trondheim, Norway", Norway,Norway
1755,No Value,No Value,No Value
1756,"Auckland, New Zealand", New Zealand,New Zealand
1757,No Value,No Value,No Value
1758,"Chennai (Madras), India", India,India
1759,No Value,No Value,No Value
1760,"Hanoi, Vietnam", Vietnam,Vietnam
1761,"Singapore, Singapore", Singapore,Singapore
1762,No Value,No Value,No Value
1763,"Perth, Australia", Australia,Australia
1764,"Chennai (Madras), India", India,India
1765,No Value,No Value,No Value
1766,"Singapore, Singapore", Singapore,Singapore
1767,"Vancouver, Canada", Canada,Canada
1768,malaysia,malaysia,Malaysia
1769,"Melbourne, Australia", Australia,Australia
1770,"Singapore, Singapore", Singapore,Singapore
1771,No Value,No Value,No Value
1772,"Perth, Western Australia, Australia", Australia,Australia
1773,"Doha, Qatar", Qatar,Qatar
1774,No Value,No Value,No Value
1775,"New Delhi, India", India,India
1776,"Balmoral, Australia", Australia,Australia
1777,"Kolkata (Calcutta), India", India,India
1778,No Value,No Value,No Value
1779,No Value,No Value,No Value
1780,"Mumbai (Bombay), India", India,India
1781,No Value,No Value,No Value
1782,"Brisbane, Queensland, Australia", Australia,Australia
1783,"Melbourne, Australia", Australia,Australia
1784,No Value,No Value,No Value
1785,No Value,No Value,No Value
1786,"Cavite City, Philippines", Philippines,Philippines
1787,"Adelaide, Australia", Australia,Australia
1788,No Value,No Value,No Value
1789,No Value,No Value,No Value
1790,No Value,No Value,No Value
1791,Singapore,Singapore,Singapore
1792,"Darwin, Australia", Australia,Australia
1793,No Value,No Value,No Value
1794,No Value,No Value,No Value
1795,Ballarat,Ballarat,Australia
1796,"Canberra, Australia", Australia,Australia
1797,"Perth, WA", WA,United States
1798,Canberra,Canberra,Australia
1799,No Value,No Value,No Value
1800,"Grimsby, United Kingdom", United Kingdom,United Kingdom
1801,No Value,No Value,No Value
1802,No Value,No Value,No Value
1803,"Gold Coast, Australia", Australia,Australia
1804,"Wellington, New Zealand", New Zealand,New Zealand
1805,"Denpasar, Indonesia", Indonesia,Indonesia
1806,"Perth, Australia", Australia,Australia
1807,"Hoi An, Vietnam", Vietnam,Vietnam
1808,"Baguio City, Philippines", Philippines,Philippines
1809,"Noida, India", India,India
1810,"Montreux, Switzerland", Switzerland,Switzerland
1811,"Norman, Oklahoma, Usa", Usa,United States
1812,No Value,No Value,No Value
1813,"Kuching, Malaysia", Malaysia,Malaysia
1814,No Value,No Value,No Value
1815,"Yogyakarta, Indonesia", Indonesia,Indonesia
1816,singapore,singapore,Singapore
1817,No Value,No Value,No Value
1818,Delhi,Delhi,India
1819,Redland City,Redland City,Australia
1820,"Singapore, Singapore", Singapore,Singapore
1821,"Warsaw, Poland", Poland,Poland
1822,No Value,No Value,No Value
1823,"Singapore, Singapore", Singapore,Singapore
1824,"Bali, Indonesia", Indonesia,Indonesia
1825,No Value,No Value,No Value
1826,"Melbourne, Australia", Australia,Australia
1827,COIMBATORE,COIMBATORE,India
1828,"Singapore, Singapore", Singapore,Singapore
1829,"Bangkok, Thailand", Thailand,Thailand
1830,No Value,No Value,No Value
1831,"New York City, New York", New York,United States
1832,"Metro Manila, Philippines", Philippines,Philippines
1833,"Hong Kong, China", China,China
1834,"Hyderabad, India", India,India
1835,"Greater Melbourne, Australia", Australia,Australia
1836,No Value,No Value,No Value
1837,"Bacolod, Philippines", Philippines,Philippines
1838,"London, United Kingdom", United Kingdom,United Kingdom
1839,No Value,No Value,No Value
1840,"Singapore, Singapore", Singapore,Singapore
1841,"Kaunas, Lithuania", Lithuania,Lithuania
1842,No Value,No Value,No Value
1843,"Bengaluru, India", India,India
1844,"Quezon, Philippines", Philippines,Philippines
1845,"Singapore, Singapore", Singapore,Singapore
1846,"Johor Bahru, Malaysia", Malaysia,Malaysia
1847,London,London,United Kingdom
1848,Malaysia,Malaysia,Malaysia
1849,"Singapore, Singapore", Singapore,Singapore
1850,No Value,No Value,No Value
1851,"Sydney, Australia", Australia,Australia
1852,"Johannesburg, South Africa", South Africa,South Africa
1853,"Singapore, Singapore", Singapore,Singapore
1854,"Auckland, New Zealand", New Zealand,New Zealand
1855,"Bowral, Australia", Australia,Australia
1856,"Manila, Philippines", Philippines,Philippines
1857,No Value,No Value,No Value
1858,Australia,Australia,Australia
1859,"Rustington, United Kingdom", United Kingdom,United Kingdom
1860,"Singapore, Singapore", Singapore,Singapore
1861,"New Delhi, India", India,India
1862,"Singapore, Singapore", Singapore,Singapore
1863,Singapore,Singapore,Singapore
1864,"South Perth, Australia", Australia,Australia
1865,No Value,No Value,No Value
1866,"New Delhi, India", India,India
1867,"London, United Kingdom", United Kingdom,United Kingdom
1868,"Melbourne, Australia", Australia,Australia
1869,No Value,No Value,No Value
1870,"Aguascalientes, Mexico", Mexico,Mexico
1871,"Jaipur, Rajasthan, India", India,India
1872,Ghaziabad,Ghaziabad,India
1873,No Value,No Value,No Value
1874,No Value,No Value,No Value
1875,No Value,No Value,No Value
1876,"Kuwait City, Kuwait", Kuwait,Kuwait
1877,Perth,Perth,Australia
1878,No Value,No Value,No Value
1879,"Singapore, Singapore", Singapore,Singapore
1880,"New Delhi, India", India,India
1881,No Value,No Value,No Value
1882,"Shanghai Region, China", China,China
1883,"Singapore, Singapore", Singapore,Singapore
1884,Singapore,Singapore,Singapore
1885,"Warnbro, Australia", Australia,Australia
1886,"Melbourne, Australia", Australia,Australia
1887,No Value,No Value,No Value
1888,No Value,No Value,No Value
1889,"New Delhi, India", India,India
1890,"Ho Chi Minh City, Vietnam", Vietnam,Vietnam
1891,No Value,No Value,No Value
1892,Ottawa,Ottawa,Canada
1893,No Value,No Value,No Value
1894,"Melbourne, Victoria, Australia", Australia,Australia
1895,No Value,No Value,No Value
1896,"Galle, Sri Lanka", Sri Lanka,Sri Lanka
1897,"Melbourne, Australia", Australia,Australia
1898,Penang,Penang,Malaysia
1899,Gurgaon,Gurgaon,India
1900,"Shaw, United Kingdom", United Kingdom,United Kingdom
1901,Lucknow,Lucknow,India
1902,No Value,No Value,No Value
1903,No Value,No Value,No Value
1904,"Jakarta, Indonesia", Indonesia,Indonesia
1905,No Value,No Value,No Value
1906,"Melbourne, Australia", Australia,Australia
1907,No Value,No Value,No Value
1908,No Value,No Value,No Value
1909,BARODA,BARODA,India
1910,"Greater Melbourne, Australia", Australia,Australia
1911,"Metro Manila, Philippines", Philippines,Philippines
1912,No Value,No Value,No Value
1913,Ropar,Ropar,India
1914,India,India,India
1915,"Paris, France", France,France
1916,No Value,No Value,No Value
1917,"Ubud, Indonesia", Indonesia,Indonesia
1918,No Value,No Value,No Value
1919,"Nagpur, India", India,India
1920,No Value,No Value,No Value
1921,No Value,No Value,No Value
1922,Mumbai,Mumbai,India
1923,No Value,No Value,No Value
1924,"Melbourne, Australia", Australia,Australia
1925,"Visakhapatnam, India", India,India
1926,No Value,No Value,No Value
1927,"Mumbai (Bombay), India", India,India
1928,No Value,No Value,No Value
1929,No Value,No Value,No Value
1930,"Cagayan de Oro, Philippines", Philippines,Philippines
1931,No Value,No Value,No Value
1932,"Melbourne, Australia", Australia,Australia
1933,"Melbourne, Australia", Australia,Australia
1934,"Singapore, Singapore", Singapore,Singapore
1935,"Ahmedabad, India", India,India
1936,No Value,No Value,No Value
1937,"Preston, United Kingdom", United Kingdom,United Kingdom
1938,"Hattiesburg, Mississippi", Mississippi,United States
1939,"Bengaluru, India", India,India
1940,No Value,No Value,No Value
1941,"Penang Island, Malaysia", Malaysia,Malaysia
1942,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
1943,No Value,No Value,No Value
1944,No Value,No Value,No Value
1945,"Doha, Qatar", Qatar,Qatar
1946,No Value,No Value,No Value
1947,No Value,No Value,No Value
1948,"Sydney, Australia", Australia,Australia
1949,No Value,No Value,No Value
1950,"Jakarta, Indonesia", Indonesia,Indonesia
1951,"Gold Coast, Australia", Australia,Australia
1952,No Value,No Value,No Value
1953,No Value,No Value,No Value
1954,Kottawa,Kottawa,Sri Lanka
1955,No Value,No Value,No Value
1956,"New Delhi, India", India,India
1957,No Value,No Value,No Value
1958,"Al Khobar, Saudi Arabia", Saudi Arabia,Saudi Arabia
1959,No Value,No Value,No Value
1960,NoCountry,NoCountry,Norway
1961,"Makati, Philippines", Philippines,Philippines
1962,"Coimbatore, India", India,India
1963,"Adelaide, Australia", Australia,Australia
1964,"Reading, United Kingdom", United Kingdom,United Kingdom
1965,"Manila, Philippines", Philippines,Philippines
1966,No Value,No Value,No Value
1967,"Hinoba-an, Philippines", Philippines,Philippines
1968,"Manchester, UK", UK,United Kingdom
1969,"Bengaluru, India", India,India
1970,"Warragul, Australia", Australia,Australia
1971,"Melbourne, Australia", Australia,Australia
1972,"Noida, India", India,India
1973,"Singapore, Singapore", Singapore,Singapore
1974,"Doha, Qatar", Qatar,Qatar
1975,No Value,No Value,No Value
1976,"Bali, Indonesia", Indonesia,Indonesia
1977,"London, United Kingdom", United Kingdom,United Kingdom
1978,Singapore,Singapore,Singapore
1979,No Value,No Value,No Value
1980,No Value,No Value,No Value
1981,"Madikeri, India", India,India
1982,No Value,No Value,No Value
1983,"Cebu Island, Philippines", Philippines,Philippines
1984,No Value,No Value,No Value
1985,No Value,No Value,No Value
1986,No Value,No Value,No Value
1987,"Hong Kong, China", China,China
1988,"Makati, Philippines", Philippines,Philippines
1989,singapore,singapore,Singapore
1990,No Value,No Value,No Value
1991,"Sydney, Australia", Australia,Australia
1992,"Mumbai (Bombay), India", India,India
1993,"Melbourne, Australia", Australia,Australia
